"lambda, nm",intensivity (0 deg),intensivity (5 deg),intensivity (10 deg),intensivity (15 deg),intensivity (20 deg),intensivity (25 deg),intensivity (30 deg),intensivity (35 deg),intensivity (40 deg),intensivity (45 deg),intensivity (50 deg),intensivity (55 deg),intensivity (60 deg),intensivity (65 deg),intensivity (70 deg),intensivity (75 deg),intensivity (80 deg),intensivity (85 deg)
1075.653,100.0,0.0,0.0,100.0,100.0,0.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1075.894,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,3.333,56.667,100.0,0.0,63.333,30.0
1076.134,100.0,100.0,100.0,94.118,100.0,88.235,52.941,100.0,100.0,100.0,100.0,35.294,0.0,29.412,88.235,0.0,100.0,58.824
1076.375,100.0,100.0,100.0,100.0,100.0,100.0,17.647,100.0,94.118,100.0,100.0,17.647,0.0,100.0,17.647,41.176,100.0,11.765
1076.615,100.0,100.0,93.333,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,20.0,100.0,46.667,100.0,100.0,0.0
1076.856,66.667,90.0,100.0,100.0,100.0,100.0,100.0,73.333,100.0,100.0,100.0,46.667,100.0,100.0,90.0,93.333,83.333,20.0
1077.097,80.0,94.545,100.0,100.0,85.455,87.273,100.0,80.0,76.364,100.0,94.545,76.364,83.636,63.636,96.364,65.455,81.818,47.273
1077.337,96.552,100.0,100.0,100.0,100.0,100.0,100.0,68.966,93.103,100.0,100.0,100.0,100.0,100.0,100.0,34.483,89.655,58.621
1077.578,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
1077.818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1078.059,74.419,83.721,100.0,100.0,100.0,76.744,100.0,69.767,100.0,100.0,76.744,88.372,67.442,55.814,67.442,88.372,58.14,46.512
1078.299,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,75.0,100.0,16.667,75.0
1078.539,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,25.0,35.0,70.0,95.0,10.0,75.0,0.0,100.0
1078.780,94.286,28.571,40.0,100.0,57.143,82.857,54.286,37.143,48.571,54.286,80.0,0.0,14.286,20.0,0.0,34.286,0.0,42.857
1079.020,100.0,100.0,100.0,100.0,95.0,100.0,100.0,100.0,100.0,100.0,100.0,30.0,100.0,100.0,5.0,100.0,10.0,100.0
1079.261,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
1079.501,54.762,100.0,90.476,59.524,100.0,100.0,76.19,78.571,54.762,69.048,100.0,69.048,42.857,73.81,73.81,35.714,47.619,45.238
1079.742,35.0,65.0,10.0,60.0,45.0,100.0,85.0,100.0,0.0,15.0,100.0,25.0,30.0,75.0,0.0,0.0,5.0,0.0
1079.982,0.0,50.0,100.0,-0.0,0.0,0.0,33.333,0.0,0.0,100.0,0.0,-0.0,-0.0,0.0,100.0,0.0,100.0,100.0
1080.222,100.0,60.0,48.571,65.714,82.857,100.0,85.714,57.143,100.0,57.143,48.571,65.714,37.143,28.571,8.571,100.0,0.0,17.143
1080.463,100.0,100.0,100.0,65.517,75.862,100.0,55.172,72.414,100.0,68.966,13.793,93.103,13.793,34.483,0.0,68.966,10.345,24.138
1080.703,96.774,100.0,96.774,16.129,77.419,100.0,100.0,87.097,100.0,100.0,32.258,100.0,29.032,51.613,90.323,96.774,83.871,58.065
