Место,ID,Тип экзамена,Балл экзамена,ИД,Сумма баллов,Средний балл,Приоритет,Согласие,Статус <?>,Главный приоритет,Наивысший приоритет прохода
56,4854428,ЗИШ,100,0,100,4.0741,5,+,in_another_order,-,-
57,4282203,ЗИШ,100,0,100,3.9667,1,-,,-,-
58,5012087,ЗИШ,100,0,100,3.9180,4,+,in_another_order,-,-
59,5030360,ЗИШ,100,0,100,3.8958,4,+,in_another_order,-,-
60,4393414,ЗИШ,100,0,100,3.8500,3,+,in_another_order,-,-
61,5092691,ЗИШ,100,0,100,3.8281,4,+,in_another_order,-,-
62,4909511,ЗИШ,100,0,100,3.7292,4,+,in_another_order,-,-
63,4218362,ЗИШ,100,0,100,3.6885,5,+,in_another_order,-,-
64,5036352,ЗИШ,100,0,100,3.6471,3,+,in_another_order,-,-
66,4885046,ВЭ,100,0,100,5.0000,3,+,in_order,-,+
67,4807837,ВЭ,100,0,100,4.9744,3,+,in_another_order,-,-
68,4372943,ВЭ,100,0,100,4.9744,3,+,in_another_order,-,-
69,4497462,ВЭ,100,0,100,4.9000,3,+,in_another_order,-,-
70,4664483,ВЭ,100,0,100,4.8571,1,+,in_order,-,+
71,4954008,ВЭ,100,0,100,4.8529,1,-,,-,-
72,5024738,ВЭ,100,0,100,4.8182,4,+,in_order,-,+
73,4889696,ВЭ,100,0,100,4.8065,2,+,in_order,-,+
74,4375737,ВЭ,100,0,100,4.8000,1,+,,-,-
75,4903638,ВЭ,100,0,100,4.7736,2,+,in_another_order,-,-
76,4322213,ВЭ,100,0,100,4.6486,3,+,in_another_order,-,-
77,3678184,ВЭ,100,0,100,4.6176,1,+,,-,-
78,5105416,ВЭ,100,0,100,4.5000,1,-,,-,-
79,4502450,ВЭ,100,0,100,4.4909,2,+,in_another_order,-,-
80,4997769,ВЭ,100,0,100,4.4815,2,+,,-,-
81,4958766,ВЭ,100,0,100,4.4468,1,+,,-,-
82,4047575,ВЭ,100,0,100,4.4359,1,-,,-,-
