Место,ID,Тип экзамена,Балл экзамена,ИД,Сумма баллов,Средний балл,Приоритет,Согласие,Статус <?>,Главный приоритет,Наивысший приоритет прохода
67,4929281,ЗИШ,100,0,100,4.2188,5,+,in_another_order,-,-
68,3623412,ЗИШ,100,0,100,4.2174,4,+,in_another_order,-,-
69,5048103,ЗИШ,100,0,100,4.2115,3,+,in_another_order,-,-
70,4310890,ЗИШ,100,0,100,4.2063,1,+,in_order,+,+
71,4395093,ЗИШ,100,0,100,4.1613,1,+,in_order,+,+
72,3694475,ЗИШ,100,0,100,4.1463,3,+,in_another_order,-,-
73,5024737,ЗИШ,100,0,100,4.1346,3,+,in_another_order,-,-
74,3713173,ЗИШ,100,0,100,4.1176,4,+,in_another_order,-,-
75,4854428,ЗИШ,100,0,100,4.0741,3,+,in_another_order,-,-
76,4907683,ЗИШ,100,0,100,4.0000,4,-,pass_another,-,-
77,4979888,ЗИШ,100,0,100,4.0000,3,+,in_another_order,-,-
78,4282203,ЗИШ,100,0,100,3.9667,4,-,pass_another,-,-
79,5012087,ЗИШ,100,0,100,3.9180,5,+,in_another_order,-,-
80,5093295,ЗИШ,100,0,100,3.9091,1,+,in_order,+,+
81,5030360,ЗИШ,100,0,100,3.8958,5,+,in_another_order,-,-
82,4393414,ЗИШ,100,0,100,3.8500,1,+,in_order,+,+
83,5092691,ЗИШ,100,0,100,3.8281,3,+,in_another_order,+,-
84,4997242,ЗИШ,100,0,100,3.8182,2,+,in_another_order,+,-
85,3820032,ЗИШ,100,0,100,3.8065,1,+,in_order,+,+
86,4909511,ЗИШ,100,0,100,3.7292,3,+,in_another_order,-,-
87,4223783,ЗИШ,100,0,100,3.7213,3,+,in_another_order,-,-
88,5036352,ЗИШ,100,0,100,3.6471,4,+,in_another_order,+,-
89,5002507,ЗИШ,100,0,100,3.5000,3,+,in_another_order,-,-
90,4203198,ЗИШ,100,0,100,3.2286,1,+,in_order,+,+
97,5006276,ВЭ,100,0,100,5.0000,1,+,in_order,+,+
98,4904419,ВЭ,100,0,100,5.0000,1,+,in_order,+,+
99,4807837,ВЭ,100,0,100,4.9744,1,+,in_order,-,+
100,4372943,ВЭ,100,0,100,4.9744,1,+,in_order,-,+
101,4917378,ВЭ,100,0,100,4.9487,1,+,in_order,-,+
102,3752477,ВЭ,100,0,100,4.8281,3,-,,-,-
103,4738021,ВЭ,100,0,100,4.8095,1,+,in_order,-,+
104,4957515,ВЭ,100,0,100,4.7692,1,+,in_order,-,+
105,5111891,ВЭ,100,0,100,4.6418,2,-,,-,-
106,4404373,ВЭ,100,0,100,4.6383,1,-,,-,-
107,4215885,ВЭ,100,0,100,4.6032,1,+,in_order,-,+
108,5036930,ВЭ,100,0,100,4.5738,1,+,in_order,-,+
109,4542231,ВЭ,100,0,100,4.5735,4,+,in_another_order,-,-
110,3654527,ВЭ,100,0,100,4.4848,1,-,,-,-
111,3905126,ВЭ,100,0,100,4.4754,1,+,in_order,-,+
112,3742703,ВЭ,100,0,100,4.4127,1,-,,-,-
113,3722599,ВЭ,100,0,100,4.3651,3,-,,-,-
114,5082753,ВЭ,100,0,100,4.3438,1,+,,-,-
115,4264017,ВЭ,100,0,100,4.3382,4,+,in_another_order,-,-
116,4206341,ВЭ,100,0,100,4.3333,1,+,,-,-
117,3831862,ВЭ,100,0,100,4.3235,1,+,,-,-
118,4705903,ВЭ,100,0,100,4.3235,1,+,,-,-
119,4694421,ВЭ,100,0,100,4.3088,5,+,in_another_order,-,-
120,4850088,ВЭ,100,0,100,4.3077,2,+,in_another_order,-,-
121,3959204,ВЭ,100,0,100,4.2647,1,-,,-,-
122,4092374,ВЭ,100,0,100,4.2500,1,-,,-,-
123,4141803,ВЭ,100,0,100,4.1765,1,-,,-,-
124,3682342,ВЭ,100,0,100,4.1707,1,-,,-,-
125,3619569,ВЭ,100,0,100,4.1250,2,-,,-,-
126,3662268,ВЭ,100,0,100,4.0312,1,-,,-,-
127,5132251,ВЭ,100,0,100,3.9683,1,+,,-,-
128,4505387,ВЭ,100,0,100,3.9211,1,-,,-,-
129,4688160,ВЭ,100,0,100,3.8378,3,+,in_another_order,-,-
130,3603081,ВЭ,100,0,100,3.8000,1,-,,-,-
131,3654088,ВЭ,100,0,100,3.6970,1,-,,-,-
132,4153774,ВЭ,100,0,100,3.6750,1,-,,-,-
133,4141809,ВЭ,100,0,100,3.5556,1,-,,-,-
134,4153779,ВЭ,100,0,100,3.3333,4,+,in_another_order,-,-
91,3791128,РОП,100,0,100,4.9016,1,+,in_order,+,+
92,5066725,РОП,100,0,100,4.8125,2,+,in_another_order,-,-
8,3697867,Призер ЯП,100,0,100,4.3333,1,+,in_order,+,+
93,5184776,РОП,100,0,100,4.2540,1,+,in_order,+,+
9,3764564,Призер ЯП,100,0,100,4.1111,4,+,in_another_order,-,-
94,5102335,РОП,100,0,100,4.0294,1,+,in_order,+,+
95,5102737,РОП,100,0,100,3.9706,1,+,in_order,+,+
10,4934817,Призер ЯП,100,0,100,3.7111,2,+,in_another_order,-,-
96,4801295,РОП,100,0,100,3.6061,1,+,in_order,+,+
135,4141812,ВЭ,95,0,95,4.2500,1,-,,-,-
136,4141813,ВЭ,95,0,95,3.2500,1,-,,-,-
137,3662223,ВЭ,90,0,90,4.2424,1,-,,-,-
138,4083968,ВЭ,90,0,90,4.0513,2,-,,-,-
139,4809276,ПИГА,70,1,71,4.9464,2,+,,-,-
140,4917307,ПИГА,70,0,70,4.9118,5,-,,-,-
141,4469655,ПИГА,70,0,70,4.8806,2,+,in_another_order,-,-
142,3579545,ПИГА,70,0,70,4.8529,1,-,,-,-
143,4065338,ПИГА,70,0,70,4.6912,1,-,,-,-
144,5187942,ПИГА,70,0,70,4.6825,2,-,,-,-
145,5084409,ПИГА,70,0,70,4.6349,2,+,in_another_order,-,-
146,4170224,ПИГА,70,0,70,4.4677,3,+,in_another_order,-,-
147,4917337,ПИГА,70,0,70,4.4677,5,+,in_another_order,-,-
148,4137463,ПИГА,70,0,70,4.4516,2,+,in_another_order,-,-
149,4137461,ПИГА,70,0,70,4.4262,5,-,,-,-
150,4989746,ПИГА,70,0,70,4.4032,2,-,,-,-
151,4258205,ПИГА,65,0,65,4.4265,1,-,,-,-
