Место,ID,Тип экзамена,Балл экзамена,ИД,Сумма баллов,Средний балл,Приоритет,Согласие,Статус <?>,Главный приоритет,Наивысший приоритет прохода
49,4569816,ЗИШ,100,0,100,4.1944,3,+,in_another_order,-,-
50,5024737,ЗИШ,100,0,100,4.1346,4,+,in_another_order,-,-
51,4854428,ЗИШ,100,0,100,4.0741,2,+,in_another_order,-,-
52,4468015,ЗИШ,100,0,100,4.0476,3,+,in_another_order,-,-
53,4907683,ЗИШ,100,0,100,4.0000,3,-,,-,-
54,4998954,ЗИШ,100,0,100,3.9839,3,-,,-,-
55,4282203,ЗИШ,100,0,100,3.9667,5,-,,-,-
56,5012087,ЗИШ,100,0,100,3.9180,2,+,in_another_order,-,-
57,5030360,ЗИШ,100,0,100,3.8958,3,+,in_another_order,-,-
58,5092691,ЗИШ,100,0,100,3.8281,5,+,in_another_order,-,-
59,4338591,ЗИШ,100,0,100,3.7547,1,+,in_order,-,+
60,4223783,ЗИШ,100,0,100,3.7213,5,+,in_another_order,-,-
61,4218362,ЗИШ,100,0,100,3.6885,4,+,in_another_order,-,-
62,5036352,ЗИШ,100,0,100,3.6471,2,+,in_another_order,-,-
63,3670230,ЗИШ,100,0,100,3.6000,1,+,in_order,-,+
64,5112980,ЗИШ,100,0,100,3.5660,2,+,in_order,-,+
65,5002507,ЗИШ,100,0,100,3.5000,1,+,,-,-
66,4486803,Я-магистр,100,0,100,4.9024,2,+,in_another_order,-,-
67,4988302,РОП,100,0,100,4.4412,1,+,,-,-
68,4050177,ВЭ,90,0,90,4.3519,3,+,in_another_order,-,-
69,4360088,ВЭ,85,0,85,5.0000,2,+,in_another_order,-,-
70,5131191,ВЭ,80,0,80,3.7879,1,-,,-,-
71,4259530,ВЭ,75,0,75,3.4902,2,-,,-,-
72,3645794,ПИГА,70,0,70,4.5484,4,-,,-,-
73,4722648,ПИГА,70,0,70,4.5246,2,+,in_another_order,-,-
74,4998381,ПИГА,70,0,70,4.5094,2,+,in_another_order,-,-
75,4659248,ПИГА,70,0,70,4.4776,2,-,,-,-
76,4930018,ПИГА,70,0,70,4.4286,1,+,,-,-
77,4665593,ПИГА,70,0,70,4.4074,2,+,in_another_order,-,-
78,4301817,ПИГА,70,0,70,4.3611,1,-,,-,-
79,3623980,ПИГА,70,0,70,4.3478,1,+,,-,-
80,4913208,ВЭ,60,0,60,4.1270,2,-,,-,-
81,4706089,ВЭ,55,0,55,4.4928,1,-,,-,-
